"Store","Date","Sales_wkly","Temperature","Fuel_Price","CPI","Unemployment","IsHoliday","Type","Size","Weekday","Month"
1,2011-04-01,1495064.75,15.1,3.524,214.8371664,7.682,FALSE,"Supercenter",14057,"Fri","Apr"
1,2012-06-01,1624477.58,25.5,3.501,221.7472139,7.143,FALSE,"Supercenter",14057,"Fri","Jun"
1,2011-07-01,1488538.09,29.8,3.524,215.1841368,7.962,FALSE,"Supercenter",14057,"Fri","Jul"
1,2010-10-01,1453329.5,22.2,2.603,211.6719895,7.838,FALSE,"Supercenter",14057,"Fri","Oct"
1,2012-03-02,1688420.76,16.1,3.63,220.8480454,7.348,FALSE,"Supercenter",14057,"Fri","Mar"
1,2010-04-02,1594968.28,16.8,2.719,210.8204499,7.808,FALSE,"Supercenter",14057,"Fri","Apr"
1,2010-07-02,1492418.14,27.2,2.669,211.2235333,7.787,FALSE,"Supercenter",14057,"Fri","Jul"
1,2011-09-02,1550229.22,31,3.533,215.7971409,7.962,FALSE,"Supercenter",14057,"Fri","Sep"
1,2011-12-02,1584083.95,9.4,3.172,218.7147333,7.866,FALSE,"Supercenter",14057,"Fri","Dec"
1,2012-02-03,1636339.65,13.6,3.36,220.1720153,7.348,FALSE,"Supercenter",14057,"Fri","Feb"
1,2011-06-03,1635078.41,28.3,3.699,215.2736553,7.682,FALSE,"Supercenter",14057,"Fri","Jun"
1,2012-08-03,1631135.79,30.1,3.417,221.9498642,6.908,FALSE,"Supercenter",14057,"Fri","Aug"
1,2010-09-03,1540163.53,27.3,2.577,211.5312479,7.787,FALSE,"Supercenter",14057,"Fri","Sep"
1,2010-12-03,1548033.78,9.6,2.708,211.607193,7.838,FALSE,"Supercenter",14057,"Fri","Dec"
1,2011-02-04,1606629.58,5.7,2.989,212.5668812,7.742,FALSE,"Supercenter",14057,"Fri","Feb"
1,2011-03-04,1636263.41,15.3,3.288,213.8233327,7.742,FALSE,"Supercenter",14057,"Fri","Mar"
1,2012-05-04,1684521.26,24.2,3.749,221.6718,7.143,FALSE,"Supercenter",14057,"Fri","May"
1,2010-06-04,1615524.71,27,2.705,211.1764278,7.808,FALSE,"Supercenter",14057,"Fri","Jun"
1,2011-11-04,1697229.58,12.8,3.332,217.837382,7.866,FALSE,"Supercenter",14057,"Fri","Nov"
1,2010-02-05,1643690.9,5.7,2.572,211.0963582,8.106,FALSE,"Supercenter",14057,"Fri","Feb"
1,2010-03-05,1554806.68,8.1,2.625,211.3501429,8.106,FALSE,"Supercenter",14057,"Fri","Mar"
1,2011-08-05,1624383.75,33.1,3.684,215.544618,7.962,FALSE,"Supercenter",14057,"Fri","Aug"
1,2012-10-05,1670785.97,20.3,3.617,223.1814772,6.573,FALSE,"Supercenter",14057,"Fri","Oct"
1,2010-11-05,1551659.28,14.9,2.689,211.9563939,7.838,FALSE,"Supercenter",14057,"Fri","Nov"
1,2012-01-06,1550369.92,9.4,3.157,219.7142581,7.348,FALSE,"Supercenter",14057,"Fri","Jan"
1,2012-04-06,1899676.88,21.4,3.891,221.4356112,7.143,FALSE,"Supercenter",14057,"Fri","Apr"
1,2011-05-06,1629391.28,18.1,3.906,215.7960035,7.682,FALSE,"Supercenter",14057,"Fri","May"
1,2012-07-06,1769854.16,27.5,3.227,221.8837789,6.908,FALSE,"Supercenter",14057,"Fri","Jul"
1,2010-08-06,1605491.78,30.6,2.627,211.5046621,7.787,FALSE,"Supercenter",14057,"Fri","Aug"
1,2011-01-07,1444732.28,9,2.976,211.4047419,7.742,FALSE,"Supercenter",14057,"Fri","Jan"
1,2010-05-07,1603955.12,22.5,2.835,210.3399684,7.808,FALSE,"Supercenter",14057,"Fri","May"
1,2012-09-07,1661767.33,28.9,3.73,222.4390153,6.908,TRUE,"Supercenter",14057,"Fri","Sep"
1,2011-10-07,1630989.95,20.7,3.285,217.0453684,7.866,FALSE,"Supercenter",14057,"Fri","Oct"
1,2011-04-08,1614557.35,19.9,3.622,215.0743939,7.682,FALSE,"Supercenter",14057,"Fri","Apr"
1,2012-06-08,1697230.96,25.7,3.452,221.7494839,7.143,FALSE,"Supercenter",14057,"Fri","Jun"
1,2011-07-08,1535047.64,29.9,3.48,215.2771754,7.962,FALSE,"Supercenter",14057,"Fri","Jul"
1,2010-10-08,1508297.93,17.7,2.633,211.7467544,7.838,FALSE,"Supercenter",14057,"Fri","Oct"
1,2012-03-09,1675452.16,14.9,3.669,221.0591887,7.348,FALSE,"Supercenter",14057,"Fri","Mar"
1,2010-04-09,1545418.53,18.8,2.77,210.6228574,7.808,FALSE,"Supercenter",14057,"Fri","Apr"
1,2010-07-09,1546074.18,26.9,2.642,211.108414,7.787,FALSE,"Supercenter",14057,"Fri","Jul"
1,2011-09-09,1540471.24,24.4,3.546,215.861056,7.962,TRUE,"Supercenter",14057,"Fri","Sep"
1,2011-12-09,1799682.38,6.6,3.158,218.9618456,7.866,FALSE,"Supercenter",14057,"Fri","Dec"
1,2012-02-10,1802477.43,8.9,3.409,220.2651783,7.348,TRUE,"Supercenter",14057,"Fri","Feb"
1,2011-06-10,1588948.32,28.4,3.648,215.0435229,7.682,FALSE,"Supercenter",14057,"Fri","Jun"
1,2012-08-10,1592549.62,29.5,3.494,221.9584329,6.908,FALSE,"Supercenter",14057,"Fri","Aug"
1,2010-09-10,1507460.69,25.9,2.565,211.4951902,7.787,TRUE,"Supercenter",14057,"Fri","Sep"
1,2010-12-10,1682614.26,8,2.843,211.4659526,7.838,FALSE,"Supercenter",14057,"Fri","Dec"
1,2011-02-11,1649614.93,2.4,3.022,212.9367046,7.742,TRUE,"Supercenter",14057,"Fri","Feb"
1,2011-03-11,1553191.63,12,3.459,214.1110564,7.742,FALSE,"Supercenter",14057,"Fri","Mar"
1,2012-05-11,1611096.05,23.2,3.688,221.7256632,7.143,FALSE,"Supercenter",14057,"Fri","May"
1,2010-06-11,1542561.09,26.9,2.668,211.4560951,7.808,FALSE,"Supercenter",14057,"Fri","Jun"
1,2011-11-11,1594938.89,15.1,3.297,217.9980849,7.866,FALSE,"Supercenter",14057,"Fri","Nov"
